po,material,qty,old_status
1300014530-10,N/A,1.0,pending
1400091742-10,N/A,1.0,pending
1400091617-10,N/A,1.0,pending
1400091618-10,N/A,1.0,pending
1400091589-10,N/A,3.0,pending
1400091593-10,N/A,1.0,pending
1400091743-10,N/A,1.0,pending
1400090010-10,N/A,1.0,pending
1400091586-10,N/A,2.0,pending
1400091596-10,N/A,2.0,pending
1400091587-10,N/A,2.0,pending
1400091597-10,N/A,2.0,pending
1400079076-10,N/A,1.0,partial
1400087615-10,N/A,2.0,pending
1400091162-10,N/A,1.0,pending
1400090886-10,N/A,1.0,pending
1400090374-10,N/A,1.0,pending
1400090443-10,N/A,1.0,pending
1400090441-10,N/A,1.0,pending
1400090371-10,N/A,1.0,pending
1400091352-10,N/A,1.0,pending
1400090606-10,N/A,1.0,pending
1300014586-10,N/A,1.0,pending
1400090363-10,N/A,1.0,pending
1400090364-10,N/A,1.0,pending
1400090365-10,N/A,1.0,pending
1400090375-10,N/A,1.0,pending
1400090444-10,N/A,1.0,pending
1400090889-10,N/A,1.0,pending
1400090367-10,N/A,1.0,pending
1400090885-10,N/A,1.0,pending
1300014619-30,N/A,1.0,pending
1300014619-20,N/A,1.0,pending
1300014619-10,N/A,4.0,pending
1300014606-10,N/A,1.0,pending
1400090366-10,N/A,1.0,pending
1400090373-10,N/A,1.0,pending
1400090372-10,N/A,1.0,pending
1400090442-10,N/A,1.0,pending
1400090884-10,N/A,1.0,pending
1400091414-10,N/A,1.0,pending
1400090599-10,N/A,1.0,pending
1400090378-10,N/A,1.0,pending
1400090062-10,N/A,1.0,pending
1400090644-10,N/A,1.0,pending
1400091496-10,N/A,1.0,pending
1400091849-10,N/A,1.0,pending
1400091081-10,N/A,1.0,pending
1400091847-10,N/A,1.0,pending
1400091846-10,N/A,1.0,pending
1400091848-10,N/A,1.0,pending
1400091082-10,N/A,1.0,pending
1400090890-10,N/A,1.0,pending
1400091356-10,N/A,1.0,pending
1400090447-10,N/A,1.0,pending
1400090891-10,N/A,1.0,pending
1400090607-10,N/A,1.0,pending
1400090887-10,N/A,1.0,pending
1400091353-10,N/A,1.0,pending
1400090405-10,N/A,1.0,pending
1400090376-10,N/A,1.0,pending
1400090445-10,N/A,1.0,pending
1300014643-10,N/A,1.0,pending
1400091724-10,N/A,1.0,pending
1400091725-10,N/A,1.0,pending
1400091355-10,N/A,1.0,pending
1400090377-10,N/A,1.0,pending
1400090888-10,N/A,1.0,pending
1400090446-10,N/A,1.0,pending
1400090368-10,N/A,1.0,pending
1400091354-10,N/A,1.0,pending
1400090608-10,N/A,1.0,pending
1100094492-10,095000047800,1.0,pending
1100094491-10,095000084100,1.0,pending
1100072066-10,2056000066B0,9.0,partial
1100094602-10,320000018501,2.0,pending
1100094934-10,416000017302,10.0,pending
1100091680-10,416000019501,1.0,partial
1100094938-10,444500011601,5.0,pending
1100094929-60,444500017001,10.0,pending
1100094929-90,444500021801,5.0,pending
1100082225-10,711000015301,3.0,pending
1100094714-10,763900009000,25.0,pending
1100093857-10,782000088100,1.0,pending
1100093857-20,782200076000,1.0,pending
1100093857-30,782200079500,1.0,pending
1100093857-40,782200137600,1.0,pending
1100093857-50,782200141200,1.0,pending
1100093857-60,782200185100,1.0,pending
1100093857-70,782200190001,1.0,pending
1100093857-80,782200219700,1.0,pending
1100093857-90,782200219800,1.0,pending
1100093857-100,782200220000,1.0,pending
1100093857-120,782400019400,1.0,pending
1100093857-130,782600000300,1.0,pending
1100093857-140,782600024900,1.0,pending
1100094418-10,786600000300,1.0,pending
1100094420-10,786600002000,1.0,pending
1100094607-10,786600006100,1.0,pending
1100092992-10,786600006900,1.0,pending
1100092992-20,786700000200,1.0,pending
1100094607-20,786700000200,1.0,pending
1100094420-20,786700000200,1.0,pending
1100092992-30,786700000500,1.0,pending
1100094420-30,786700000700,4.0,pending
1100092992-40,786700000700,1.0,pending
1100094607-30,786700000700,1.0,pending
1100094420-40,786700000800,2.0,pending
1100092992-50,786700000800,1.0,pending
1100094607-40,786700000800,1.0,pending
1100094420-50,786700001200,1.0,pending
1100094420-60,786700001300,1.0,pending
