po,material,qty,remaining
1400091592-10,N/A,1.0,2.000
1100084386-10,2051000079B1,10.0,6.000
1100086405-10,2056000033B1,10.0,35.000
1100080903-10,2056000066B0,1.0,39.000
1100091205-10,3154001434A0,5.0,10.000
1100089548-10,3212000615A0,6.0,14.000
1100091173-10,792100013500,5.0,2.000
1100093833-10,792300003800,2.0,1.000
1100085669-10,792300003903,2.0,1.000
1100084477-10,794300034911,1.0,3.000
1100091101-10,794500079604,1.0,4.000
1100094593-10,794600065503,3.0,17.000
1100094593-10,794600065503,4.0,16.000
1100093771-10,794600065704,1.0,13.000
1100093771-10,794600065704,2.0,12.000
1100094365-10,794600072801,1.0,18.000
1100094365-10,794600072801,1.0,18.000
1100094366-10,794600075701,1.0,19.000
1100094366-10,794600075701,1.0,19.000
1100090343-10,794600076201,1.0,14.000
1100093775-10,794600078901,1.0,9.000
1100093775-10,794600078901,2.0,8.000
1100091108-10,794600083503,1.0,6.000
1100091108-10,794600083503,1.0,6.000
1100093778-10,794600086401,3.0,11.000
1100090091-10,794600086802,1.0,6.000
1100086276-10,794600097600,1.0,14.000
1100092714-10,8015003031A0,1.0,1.000
1100093205-10,8016001232A0,2.0,10.000
1100093205-10,8016001232A0,4.0,8.000
1100093922-10,8320000912A1,4.0,16.000
1100089878-10,8320000939A0,10.0,30.000
1100094544-10,8420002128A0,20.0,140.000
